"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0000070",1e-10,1.2485e-08,NA,-0.849063043129637,-2.28742081026755,37,"ZWINT;CENPI;KIFC1;KNL1;MAD2L1;CENPK;SKA1;NDC80;SMC4;NCAPG2;KNSTRN;SKA3;RAN;CDCA8;KIF2C;SMC1A;SPAG5;KNTC1;ESPL1;NEK2;PLK1;KIF18A;KIF18B;ZW10;SKA2;WAPL;TUBG1;PPP1CC;MIS12","GO:0000070","mitotic sister chromatid segregation",1.2485e-08,37
"GO:0000278",1e-10,1.2485e-08,NA,-0.692354709732744,-2.24743681802463,132,"TUBB6;TUBB4B;TUBA1C;CENPE;KIF11;XRCC2;KIF15;AURKA;TPX2;CENPF;SKA1;AURKB;PBK;NDC80;NOLC1;BIRC5;SKA3;RAN;CDCA8;TUBA1A;KIF22;NLE1;WDHD1;TUBA1B;NUDT15;TUBB2A;ESPL1;NEK2;PLK1;POLE;KIF18A;MYBL2;KIF18B;SMC3;INCENP;CDT1;CENPW;HASPIN;ZW10;WEE1;PPP2CA;SKA2;TUBA4A;USP16;PKMYT1;TUBB2B;TUBGCP5;AKAP8;TUBB;BCL2;MYBL1;YEATS4;NEDD1;TUBG1;ARPP19;PPP2CB;CENPT;PBRM1;ZNRD2;CIT;MIS12;CDC23;EML4;TUBD1;TUBGCP3;TUBGCP4;NEK4;PPP2R2D","GO:0000278","mitotic cell cycle",1.2485e-08,132
"GO:0000398",1e-10,1.2485e-08,NA,-0.67638979575064,-2.26802586344769,176,"HSPA8;HNRNPF;SF3A3;GEMIN5;SNRPD1;PRPF4;PHF5A;DDX39A;SRSF1;U2AF2;DHX15;SNRPB;PRPF19;TRA2B;SNRNP40;SNRPG;PNN;DDX23;METTL3;PPIL1;HNRNPR;EIF4A3;HNRNPU;RNPS1;MTREX;GEMIN6;RBM8A;SART3;TXNL4A;U2AF1;HNRNPK;BUD13;RBMX;MAGOHB;SRSF10;HNRNPH1;PRPF40A;BCAS2;PPIH;SNU13;NCBP1;SYNCRIP;SNRPE;SNRPD3;SF3B3;SNRPA1;SNRNP70;CWF19L1;LSM4;MAGOH;EFTUD2;ZCCHC8;LSM2;NCBP2;SNRPC;PRPF3;SNRPF;LSM6;LSM7;PRPF31;USP39;TFIP11;DDX46;LSM5;HNRNPM;RSRC1;SNRPD2;DBR1;HNRNPC;CWC15;DHX16;LSM3;SNW1;STRAP;SRRM1;HTATSF1;SF3A1;SART1;CWF19L2;C9orf78;DHX38;BUD31;PLRG1;SMU1;PRPF38A;SNRPB2;CACTIN;SF3B2;SF3B6;CDC5L;CTNNBL1;MFAP1;SF3B5;SNRNP25;RBM14;SF3B4;GCFC2;DDX41;AQR;CWC22;HNRNPA3;HNRNPA2B1;FRG1","GO:0000398","mRNA splicing, via spliceosome",1.2485e-08,176
"GO:0006260",1e-10,1.2485e-08,NA,-0.752478910013028,-2.42431288888033,125,"FEN1;CDC6;MCM7;FAM111B;MCM10;MCM4;GRWD1;MCM3;ORC6;POLQ;MCM2;GINS1;DTL;CDC45;CDK1;GINS2;MCM5;PCNA;BLM;RFC3;CHAF1A;DNA2;MCM6;POLA1;RFC2;POLE3;DBF4;GINS3;DDX11;ORC1;MCMBP;SUPT16H;CHEK1;RFC4;RPA2;ZPR1;POLE;DNAJC2;RECQL4;FAM111A;PRIM2;SET;TICRR;DHX9;SSRP1;POLD1;POLE2;CDT1;POLD2;GINS4;PCLAF;CHAF1B;NASP;DONSON;CDK2;RECQL;DSCC1;RBMS1;RPA1;CHTF18;SSBP1;TWNK;RMI1;RFC5;RBBP7;POLD3;LRWD1;SDE2","GO:0006260","DNA replication",1.2485e-08,125
"GO:0006281",1e-10,1.2485e-08,NA,-0.597859173721118,-2.12474124965917,412,"FEN1;CLSPN;UHRF1;POLQ;USP1;CDK1;XRCC2;BRCA1;PCNA;FANCI;EXO1;BLM;RAD18;RFC3;BRCA2;H2AX;CHAF1A;DNA2;RFWD3;RRM1;UBE2T;POLA1;PARP1;FANCA;ERCC6L;RFC2;FANCG;SMC1A;RAD51AP1;KIF22;PSMD14;NPM1;MSH2;MCM8;DDX11;PARPBP;TDG;RAD1;TTF2;BRIP1;WDHD1;SUPT16H;RUVBL1;CHEK1;FANCM;BARD1;FANCD2;RNF168;RAD51;MSH6;PRPF19;GEN1;MMS22L;RFC4;TOPBP1;ZGRF1;UCHL5;FANCB;RPA2;FH;POLE;RECQL4;SHLD2;FAM111A;ZMPSTE24;TICRR;CENPX;CGAS;SMC3;BCCIP;SSRP1;POLD1;POLE2;NEIL3;ADPRS;EXOSC10;UNG;POLD2;XRCC6;MRE11;RAD23B;MLH1;PCLAF;CHAF1B;FANCE;CDK2;RBBP8;RECQL;AUNIP;SLF1;RNF138;XRCC5;UBE2N;TOP3A;TONSL;RPA1;GTF2H2C;GTF2H3;DCLRE1B;RUVBL2;RIF1;ATRIP;MORF4L2;PIF1;SMARCA5;RFC5;TRAIP;PAXX;RAD21;POLD3;WRAP53;USP10;NABP1;MACROH2A1;EME1;SMCHD1;ACTL6A;RAD54L;USP7;CUL4A;XRCC4;UBE2D3;TRIM28;WRN;DCLRE1A;TIMELESS;HROB;INIP;TDP1;HMGB1;SLF2;GTF2H2;GTF2H1;NBN;CDK7;APTX;RAD54B;POLDIP2;HUS1;BRCC3;RBX1;USP47;RMI2;PARP2;HTATSF1;PARK7;INO80;TEX15;PAXIP1;NSMCE4A;ATR;WRNIP1;DCLRE1C;STUB1;NUCKS1;ERCC3;RAD51C;FOXM1;LIG4;DMC1;REXO4;MBD4;CDC5L;MGME1;PALB2;ELOF1;MNAT1;NABP2;HPF1;SMC5;DOT1L;EXO5;RAD51D;UIMC1;BACH1;PSME4;SFPQ;LIG3;FAAP24;SETMAR;EYA3;POLG;PRMT6;RBBP4;SPINDOC;RPA3;PAGR1;CYREN;LIG1;RFC1;FZR1;XRCC3;ALKBH3;RHNO1;ACTR5;FAN1;APEX2;PTTG1","GO:0006281","DNA repair",1.2485e-08,412
"GO:0006325",1e-10,1.2485e-08,NA,-0.535714868399412,-1.90439877279611,416,"H3C14;H3C15;H1-5;H4C14;H4C15;H3C7;H2AC8;H3C10;H4C3;H4C8;H3C6;H3C3;H2BC11;H3C2;H3C8;H2AC4;UHRF1;H4C4;H4C13;H3C12;H4C6;H4C2;H4C11;H3C13;H4C12;H3C1;H4C9;H1-2;H1-4;H1-3;TOP2A;PCNA;RBL1;CHAF1A;H4C1;HMGA2;NCAPG2;DNMT1;DEK;SUV39H2;NCAPD3;HAT1;TDG;RUVBL1;H4C5;H2AZ1;ASF1B;RNF168;MSH6;EED;MMS22L;TOPBP1;PWP1;H3C11;BAZ1B;DNAJC2;TTLL12;ZMPSTE24;HNRNPU;DHX9;CBX3;HMGB2;NSD2;PRKAA2;WDR5;COPRS;HASPIN;CHAF1B;CHD1;SETD7;RRP8;KMT5A;SMYD2;USP16;TONSL;RPA1;RUVBL2;PRMT5;MORF4L2;JMJD6;YEATS4;IER3IP1;SMARCA5;SUV39H1;ANP32E;SUZ12;CXXC1;MTA2;RBBP7;BRD9;TRIM24;LRWD1;MACROH2A1;KANSL2;CTCF;SMCHD1;ACTL6A;RIOX1;TRIM28;PBRM1;USP36;MTF2;PHF19;HMGB1;L3MBTL2;BEND3;RNF20;KDM2B;EZH2;ING5;BRPF1;BRCC3;CBX2;HTATSF1;ING2;RBBP5;ATG5;SAFB;PTMA;RNF40;DCAF1;HDAC2;ING3;NUCKS1;BUD23;SIRT1;ZZZ3;MRGBP;CDYL2;SFMBT1;HIRA;PYGO1;PRKAA1;SPIN4;METTL4;DOT1L;THAP7;HMGN1;UIMC1;SMARCC1;STK38;UTP3;SETMAR;EYA3;PRMT6;DAXX;FIRRE;RBBP4;MSL1;HIRIP3","GO:0006325","chromatin organization",1.2485e-08,416
"GO:0006334",1e-10,1.2485e-08,NA,-0.865570768073169,-2.69104855119104,97,"H3C14;H3C15;H1-5;H4C14;H4C15;H3C7;H2BC10;H3C10;H4C3;H2BC3;H4C8;H2BC17;H3C6;H3C3;H2BC8;H2BC11;H2BC4;H3C2;H3C8;H4C4;H4C13;H2BC9;ATAD2;H3C12;DNAJC9;GRWD1;H4C6;H4C2;H2BC13;H4C11;H2BC6;H3C13;H4C12;MCM2;H3C1;H4C9;H1-2;H1-4;H1-3;H2AX;CHAF1A;H4C1;H2BC7;POLE3;H2BC21;HAT1;NPM1;H2BC14;H3-3B;SUPT16H;H4C5;ASF1B;H3C11;H2BC15;SET;SSRP1;HMGB2;SART3;BAZ1A;NAP1L4;CHAF1B;NASP","GO:0006334","nucleosome assembly",1.2485e-08,97
"GO:0006364",1e-10,1.2485e-08,NA,-0.756350423370882,-2.51582408635595,160,"MRTO4;DDX21;NOP56;DKC1;WDR43;BOP1;EBNA1BP2;LYAR;POP7;EMG1;RRP9;NOP58;NOL11;NOLC1;PES1;PA2G4;EXOSC8;RRP1;RRP15;UTP20;BRIX1;SBDS;IMP4;NOL6;EXOSC2;RRP7A;PDCD11;HEATR1;WDR74;UTP15;NAT10;EXOSC9;RRP36;WDR12;DCAF13;PWP1;DDX56;NOP14;NOL9;UTP18;ESF1;EIF4A3;DDX10;UTP6;FBL;RRP7BP;RRP1B;MTREX;UTP11;EXOSC10;EXOSC6;RPF2;EXOSC3;NPM3;WBP11;GEMIN4;RPP30;WDR75;DDX55;IMP3;RRP8;BYSL;TFB2M;UTP14A;DDX49;UTP23;FCF1;DIMT1;UTP4;SUV39H1;LAS1L;UTP25;MPHOSPH6;WDR36;MPHOSPH10;FTSJ3;RBFA;WDR55;LSM6;TSR2;NHP2;RPS17;RPP25;MRM1;XRN2;TENT4B;MRM3;RPF1;NVL;EXOSC7;POP5;ERI1;DDX51;NOL8;AK6;NOP10;PPAN;BUD23;POP4;DIS3;EXOSC5;RPS24;REXO4;TSR3;RPP40;NOC4L;TRMT112;TBL3;KRR1;RPS6;NSUN4","GO:0006364","rRNA processing",1.2485e-08,160
"GO:0006397",1e-10,1.2485e-08,NA,-0.644106069332682,-2.2837156961987,376,"HSPA8;SRSF7;C1QBP;HNRNPF;ALYREF;SF3A3;NSUN2;GEMIN5;SNRPD1;PRPF4;PUS1;PHF5A;SLBP;DDX39A;SRSF1;U2AF2;PUS7;DHX15;PNPT1;TTF2;TRMT61A;SRSF3;SNRPB;PRPF19;TRA2B;ZPR1;SNRNP40;SNRPG;PNN;DDX23;METTL3;PPIL1;THOC3;HNRNPR;TRMT6;EIF4A3;HNRNPU;DHX9;PDE12;DUS3L;RRP1B;RNPS1;DDX20;MTREX;PUF60;GEMIN6;SMN2;RBM8A;SART3;TXNL4A;SMN1;U2AF1;DDX1;PPP1R8;CSTF2;HNRNPK;BUD13;WBP11;RBMX;IVNS1ABP;MAGOHB;GEMIN4;SRSF10;HNRNPH1;TARDBP;TSSC4;PRPF40A;BCAS2;RBM28;TRMT10C;PPIH;CELF1;SNU13;NCBP1;SYNCRIP;NUDT21;SNRPE;RPUSD2;SNRPD3;JMJD6;SF3B3;KHDRBS3;SNRPA1;SNRNP70;LSM4;MAGOH;EFTUD2;ZCCHC8;LSM2;TSEN15;THOC1;NCBP2;SRSF2;SDE2;PRPF3;SNRPF;LSM6;ALKBH5;LSM7;TCERG1;PRPF31;CPSF6;USP39;TFIP11;IWS1;DDX46;LSM5;HNRNPM;CLP1;PPP4R2;RNGTT;XRN2;RSRC1;PTBP1;SNRPD2;DBR1;HNRNPC;TENT4B;CSTF2T;CWC15;TENT4A;GEMIN2;LSM1;DHX16;METTL16;KHSRP;SRSF9;LSM11;LSM3;SNW1;STRAP;SRRM1;TSEN54;KHDC4;THRAP3;HTATSF1;SF3A1;SART1;C9orf78;PRPF38B;SSU72;CD2BP2;DHX38;SNRNP48;TRUB2;MBNL3;BUD31;PLRG1;SMU1;PRPF38A;SNRPB2;CACTIN;SRPK1;LARP7;RBM25;RBM17;CPSF2;SF3B2;TSEN2;CLNS1A;WDR33;MTPAP;RAMAC;FASTKD5;HNRNPA0;SF3B6;CDC5L;CTNNBL1;CDK12;MFAP1;SF3B5;RBM23;YBX1;SNRNP25;WTAP;CCAR2;SFPQ;SF3B4;PUS7L;TRUB1;GCFC2;TRMT2A;PRPF39;AAR2;DDX41;ECD;CELF2;AQR;CWC22;SREK1IP1;CMTR2;SREK1;HNRNPA3;SRSF4;RBM38;HNRNPA2B1;FRG1;TRMT61B","GO:0006397","mRNA processing",1.2485e-08,376
"GO:0006412",1e-10,1.2485e-08,NA,-0.585232820029869,-2.04955274477147,295,"EIF2S1;EIF1AX;ABCE1;TARS1;EIF4E;EIF3B;ETF1;GEMIN5;MRPL17;MARS1;EIF3J;FARSA;EIF5A;IARS1;NARS1;FARSB;MRPL35;EIF6;RPL22L1;DENR;EEF1B2;GARS1;MRPL15;MRPL18;ABCF1;EIF2B5;MRPS12;EIF5;EIF2S2;HARS1;MARS2;RARS1;MRPS23;EIF2B3;KARS1;EIF5B;MRPL3;EIF3A;EIF3M;MRPL14;GFM1;GSPT1;RPL35;EEF1E1;MRPS7;AIMP2;EIF4G2;IGF2BP3;MRPL20;SARS1;YARS1;AGO2;DHX29;CARS2;RPL39L;EIF4A1;MRPL21;NARS2;RPLP1;AIMP1;EIF2B1;MRPL36;MRPL47;MRPL13;MRPL57;RPS17;EIF4G1;MRPS18C;MRPL58;EEF1D;EPRS1;PDF;RPL36AL;DARS2;ELP6;HBS1L;MTRF1L;LARS1;MRPL27;MTIF2;RPL17;EIF3I;MRPS2;AARS2;METTL17;LARP4;MRPL1;LARP1;MRPS16;EIF4E2;EFL1;EIF4H;MRPL52;MRPS5;GFM2;MRPL24;RPS24;CARS1;VARS1;DARS1;FARS2;MRPL4;RPS6;QRSL1;RPSA;EIF3C;LARS2;EIF3CL;RPS4X;EIF5A2;MRPL42;RPL36A;RPS27A;YARS2;RPL26L1;MRPL51;MRPL19;RPS14;RPS7;LINC01783;RPS5;RPL21;RPS10;RPL38;MRPL11;RPS6KB2;MRPL12;MRPL32;MRPS30;RPL41;RPS3A;MRPL22;RPL24;MRPL16;MRPL49;FAU;RPS23;RPS15;EARS2;EIF1;RPL37A;RPL23A;RPS12;MRPL55;RPL39;EIF2S3;RPL26;MRPS33;NACA;RPL11;RPS13;MRPL37;MRPL9;PABPC4;MRPS17;MRPL41;RPL7;EIF3K;RPL36;MRPS6;MCTS1;RPLP2;RPL23;MRPS11;EIF2B2;RPL5;RPL32;AARSD1;RPL10A;RPL27A;TUFM;MTFMT;EIF3D;HARS2;GATC;RPL30;RPS18;GUF1;RPS3","GO:0006412","translation",1.2485e-08,295
"GO:0007059",1e-10,1.2485e-08,NA,-0.742141219615387,-2.34935939815406,107,"CENPE;CENPI;TOP2A;KNL1;CENPL;BRCA1;RCC1;CENPK;CENPF;ESCO2;SKA1;NDC80;DLGAP5;BIRC5;NUF2;TTK;KNSTRN;SKA3;CENPN;MKI67;KIF2C;HJURP;BUB3;SPAG5;DSN1;CDCA2;DIAPH3;DDX3X;BUB1;SGO2;SPC24;SEH1L;CENPU;ESPL1;NEK2;MIS18A;NUP43;CENPX;STAG1;CENPO;INCENP;CENPQ;CENPW;CCDC86;CDK5RAP2;SKA2;SGO1;SPC25;CENPM;NUP37;RAD21;NTMT1;CEP85;CIAO2B;CTCF;CENPT;ITGB3BP;MIS12;MAP3K20;CENPP;C9orf78;CIAO1;SRPK1;NSL1;SLC25A5;CIAO2A;SMC5;OIP5;CENPH","GO:0007059","chromosome segregation",1.2485e-08,107
"GO:0007155",1e-10,1.2485e-08,NA,0.454484205437441,2.03407492713912,446,"COL12A1;COL8A1;FLRT2;PBXIP1;EDIL3;FAT4;LAMC2;ITGA10;CADM3;NUAK1;IGFBP7;MMRN1;COL4A6;SRPX2;AMIGO2;APP;CLDN5;CXADR;LAMA4;ICAM1;DST;MPZL2;CYFIP2;F11R;LAMB1;FN1;CLSTN3;CLDN11;SUSD5;CD9;VCAM1;ARVCF;SRPX;IL32;MMRN2;ITGB8;PXDN;PECAM1;EFNB1;ITGB5;FAT1;CNTNAP1;RHOB;MYH10;PKP2;CD44;SELP;LDB1;CD36;HAPLN3;CD99L2;RND3;EPHB4;BMX;CADM4;DPP4;CNTNAP3;ALCAM;ITGAV;CCL2;PRKY;FBLN5;FAP;ADAM23;VMP1;CLSTN1;DDR2;PSEN1;CDH4;NID1;NRP2;CDH24;PERP;NLGN4Y;CTNND1;CD34;HES1;ITGB4;CEACAM1;LAMC1;SDK1;TRO;SPOCK1;ADAM17;INPPL1;MFGE8;CDH2;COL5A1;NLGN2;PRKCE;ITGA2;DCHS1;DDR1;PCDH15;FLOT2;JCAD;ITGA3;PCDHGA10;BCAM;PCDHGB6;MTSS1;TMEM8B;CDH5;NINJ1;PTPRF;CD99;JUP;PTPRK;CERCAM;EPHA4;PCDHGA6;FBLIM1;TGFBI;PRKD2;THBS3;SELE","GO:0007155","cell adhesion",1.2485e-08,446
"GO:0008033",1e-10,1.2485e-08,NA,-0.683621957580443,-2.1531542875817,104,"POP7;POP1;NSUN2;PUS1;PUS7;NAT10;TRMT61A;TRMT6;WDR4;DUS3L;CTU2;QTRT2;DDX1;TYW3;TRMU;RPP30;KARS1;TRMT10C;HSD17B10;QTRT1;DUS1L;CDK5RAP1;TP53RK;TSEN15;FTSJ1;ELAC2;RTCB;LSM6;SSB;METTL2A;RPP25;CLP1;METTL2B;TPRKB;ELP6;CDKAL1;TSEN54;THADA;POP5;GTPBP3;TRUB2;ADAT2;LCMT2;POP4;TSEN2;RPP14;RPP40;TRIT1;FARS2;ELP5;TRMT1;METTL1;PUSL1;TRMT13;ELP1;TRUB1;TRMT2A;MTO1;TRMO;TRMT61B;METTL6;ADAT1;DUS2;TYW1;GRSF1;OSGEP;TRNT1;CTU1;URM1;METTL8","GO:0008033","tRNA processing",1.2485e-08,104
"GO:0008380",1e-10,1.2485e-08,NA,-0.645901136398736,-2.26527865494315,298,"HSPA8;SRSF7;C1QBP;HNRNPF;ALYREF;SF3A3;GEMIN5;SNRPD1;PRPF4;PUS1;PHF5A;DDX39A;SRSF1;U2AF2;PUS7;DHX15;TTF2;SRSF3;SNRPB;PRPF19;TRA2B;ZPR1;SNRNP40;SNRPG;PNN;DDX23;PPIL1;THOC3;HNRNPR;PRMT1;EIF4A3;HNRNPU;DHX9;RRP1B;RNPS1;DDX20;MTREX;PUF60;GEMIN6;SMN2;RBM8A;SART3;TXNL4A;SMN1;U2AF1;PPP1R8;HNRNPK;BUD13;WBP11;RBMX;IVNS1ABP;MAGOHB;GEMIN4;SRSF10;HNRNPH1;TARDBP;FUS;TSSC4;PRPF40A;BCAS2;RBM28;PPIH;CELF1;SNU13;NCBP1;SYNCRIP;SNRPE;SNRPD3;JMJD6;SF3B3;SNRPA1;LSM4;MAGOH;EFTUD2;ZCCHC8;MPHOSPH10;LSM2;THOC1;NCBP2;SRSF2;SDE2;PRPF3;SNRPF;LSM6;LSM7;TCERG1;PRPF31;USP39;TFIP11;IWS1;DDX46;LSM5;HNRNPM;PPP4R2;RSRC1;PTBP1;SNRPD2;HNRNPC;CWC15;GEMIN2;LSM1;DHX16;KHSRP;SRSF9;LSM3;SNW1;STRAP;SRRM1;KHDC4;THRAP3;HTATSF1;SF3A1;SART1;C9orf78;PRPF38B;CD2BP2;DHX38;SNRNP48;MBNL3;BUD31;PLRG1;SMU1;PRPF38A;SNRPB2;CACTIN;SRPK1;LARP7;RBM25;RBM17;SF3B2;CLNS1A;RP9;SF3B6;CDC5L;CTNNBL1;CDK12;MFAP1;SF3B5;RBM23;YBX1;SNRNP25;WTAP;CCAR2;SFPQ;SF3B4;GCFC2;PRPF39;AAR2;DDX41;ECD;AQR;CWC22;SREK1IP1;SREK1;HNRNPA3;SRSF4;RBM38;HNRNPA2B1;FRG1","GO:0008380","RNA splicing",1.2485e-08,298
"GO:0032200",1e-10,1.2485e-08,NA,-0.947972038188418,-2.3956604169988,26,"H4C14;H4C15;H3C7;H3C10;H4C3;H4C8;H3C6;H3C3;H3C2;H3C8;H4C4;H4C13;H3C12;H4C6;H4C2;H4C11;H4C12;H3C1;H4C9;H4C1;H3-3B;H4C5;RAD51;H3C11","GO:0032200","telomere organization",1.2485e-08,26
"GO:0042254",1e-10,1.2485e-08,NA,-0.779870191986232,-2.49462666098213,116,"MRTO4;GRWD1;NOP56;DKC1;WDR43;TSR1;BOP1;EBNA1BP2;EMG1;C1QBP;NOP58;NIP7;NOL11;PES1;GTPBP4;URB2;BRIX1;PAK1IP1;SBDS;IMP4;NPM1;RRP7A;GNL2;DHX37;HEATR1;DDX3X;UTP15;NAT10;RRS1;RIOK1;RRP36;WDR12;DCAF13;PWP1;ISG20L2;NOL7;DDX56;BMS1;NOP14;RRN3;EIF6;XPO1;AATF;MDN1;DHX30;HEATR3;MYBBP1A;FASTKD2;RPF2;SURF6;WDR75;TMA16;DDX55;IMP3;XRCC5;BYSL;UTP14A;SNU13;UTP23;FCF1;MTERF3;UTP4;RIOX2;LTV1;RIOK2;WDR36;MPHOSPH10;FTSJ3;DDX31;SDE2;GNL3L;CUL4A;NHP2;RPF1;NVL;SDAD1;GTF3A;ZNHIT6;DDX51;AK6;NOP10;EFL1;BUD23;TSR3;NOC4L;KRR1;ZNF622;NSUN4","GO:0042254","ribosome biogenesis",1.2485e-08,116
"GO:0042274",1e-10,1.2485e-08,NA,-0.771381899377691,-2.32273601095284,74,"NOP56;WDR43;EMG1;RRP9;NOP58;UTP20;WDR3;PNO1;IMP4;NOL6;NPM1;RRP7A;DHX37;HEATR1;UTP15;NAT10;RIOK1;RRP36;WDR46;PWP2;NOM1;NOL7;BMS1;NOP14;DNTTIP2;UTP18;AATF;UTP6;FBL;RPS19BP1;UTP11;EXOSC10;SURF6;WDR75;IMP3;SNU13;NGDN;FCF1;DIMT1;UTP4;LTV1;RIOK2;WDR36;MPHOSPH10;RPS17;AK6;METTL17;RPS24;TBL3;KRR1;RPS6;RPS4X;RPS27A;UTP3;RPS14;RPS7;RPS5","GO:0042274","ribosomal small subunit biogenesis",1.2485e-08,74
"GO:0051028",1e-10,1.2485e-08,NA,-0.699087271628194,-2.18903064839069,101,"SRSF7;NUP85;NUP107;NUP35;EIF4E;ALYREF;NUP155;NUP58;NUP88;SLBP;NUP50;SRSF1;NDC1;NUP93;NUP205;SRSF3;SEH1L;NUP98;THOC3;XPO1;NUP43;EIF4A3;NUP160;DHX9;PEG10;BICD2;NUP153;NUP54;RBM8A;NUP188;MAGOHB;LRPPRC;AHCTF1;NCBP1;NUP62;IGF2BP3;NUP37;MAGOH;THOC1;NUP42;NCBP2;IWS1;NUP133;KHSRP;CHTOP;TPR;PCID2;RANBP2;RANBP17;SENP2;POLDIP3;METTL1","GO:0051028","mRNA transport",1.2485e-08,101
"GO:0051301",1e-10,1.2485e-08,NA,-0.66079273017152,-2.34235491656419,391,"ZWINT;CDC6;CDCA5;TUBA1C;CDC25A;NCAPG;ANLN;CENPE;SPDL1;KIF11;BUB1B;CCNA2;FAM83D;UBE2S;KIF23;CEP55;HELLS;CCNB1;CDK1;FBXO5;KIFC1;KNL1;AURKA;RCC1;MAD2L1;TPX2;CKS2;CENPF;SKA1;CDC20;SMC2;KIF20B;AURKB;NDC80;SMC4;VRK1;RACGAP1;BIRC5;CCNF;CCNE2;CCND1;NUF2;CKS1B;HMGA2;NCAPG2;UBE2C;KNSTRN;SKA3;RAN;CDCA8;ECT2;KIF14;NSUN2;ASPM;ERCC6L;KIF2C;NCAPD3;BUB3;TUBA1A;SMC1A;ZWILCH;SPAG5;HAUS2;HAUS6;KNTC1;DSN1;CDCA2;TIPIN;PIMREG;BUB1;CDC7;MCMBP;RUVBL1;SGO2;TUBA1B;SPC24;SEH1L;SAPCD2;NEK2;TACC3;PLK1;MAPRE1;NCAPH;CCNE1;HAUS3;HAUS8;MASTL;CENPA;MIS18A;NUP43;KIF18B;CENPX;HNRNPU;SMC3;NUDC;STAG1;ANKLE2;INCENP;TXNL4A;CDT1;CDC27;CENPW;SENP5;ENTR1;ANAPC1;ZW10;WEE1;CDK2;RBBP8;SKA2;CLASP2;SGO1;PRPF40A;KMT5A;MIS18BP1;AHCTF1;WAPL;ANAPC7;USP16;CKAP5;KLHL18;SPC25;TUBB;RCC2;CDK4;SEPTIN7;NEDD1;NUP37;SSNA1;CCSAP;GNAI3;RAD21;KLHL21;PDS5A;GPSM2;CCNB2;ANAPC5;SDE2;CDCA3;KLHL42;HAUS5;ARPP19;CENPV;CENPT;DYNC1LI1;BORA;USP39;ARF6;DCLRE1A;TIMELESS;PELO;ZNRD2;CNTROB;ITGB3BP;CIT;RAE1;TENT4B;PPP1CC;MIS12;INTS13;CDK7;BRCC3;TPR;ZC3HC1;PSRC1;DYRK3;E4F1;CDC23;EML4;INO80;ANAPC13","GO:0051301","cell division",1.2485e-08,391
"GO:0061644",1e-10,1.2485e-08,NA,-0.965628130107017,-2.22291695430369,17,"H4C14;H4C15;H2AC8;H4C3;H4C8;H2BC11;H2AC4;H4C4;H4C13;H4C6;H4C2;H4C11;H4C12;H4C9;H4C1;H4C5;CENPA","GO:0061644","protein localization to CENP-A containing chromatin",1.2485e-08,17
"GO:0007094",1.52923166867267e-10,1.81832927460746e-08,0.826657301178302,-0.858020578447525,-2.23021514735606,30,"ZWINT;SPDL1;BUB1B;TRIP13;MAD2L1;CENPF;CDC20;NDC80;BIRC5;NUF2;TTK;BUB3;ZWILCH;KNTC1;BUB1;SPC24;PLK1;HASPIN;ZW10;SPC25","GO:0007094","mitotic spindle assembly checkpoint signaling",1.81832927460746e-08,30
"GO:0045653",3.03009635369001e-10,3.43915936143817e-08,0.814035837847908,-0.936831203829758,-2.15662520734883,17,"H4C14;H4C15;H4C3;H4C8;H4C4;H4C13;H4C6;H4C2;H4C11;H4C12;H4C9;H4C1;H4C5;PRMT1","GO:0045653","negative regulation of megakaryocyte differentiation",3.43915936143817e-08,17
"GO:0006913",4.07703515369753e-10,4.42624207773162e-08,0.814035837847908,-0.781850187634485,-2.21002066072615,48,"RANBP1;NUP85;NUP107;NUP35;RAN;NUP155;NUP58;NUP88;NPM1;NUP50;NDC1;NUP93;NUP205;SEH1L;NXT1;NUP98;XPOT;XPO1;NUP43;NUP160;NUP153;NUP54;NUP188;AHCTF1;NUP62;NUP37;NUP42;ANKRD54;RSRC1;RAE1;NUP133;TPR;RANBP2;RANBP17","GO:0006913","nucleocytoplasmic transport",4.42624207773162e-08,48
"GO:0006457",1.25236843749134e-09,1.25406391645373e-07,0.788186810800237,-0.581214391236182,-1.95734653371789,180,"HSPA1A;HSPA8;HSP90AA1;HSPA9;HSPH1;HSPD1;HSPA1B;CCT2;CHORDC1;DNAJA1;CCT5;GRPEL1;AHSA1;TCP1;HSP90AB1;CCT3;DNAJA3;PPIF;CCT8;CCT6A;ZPR1;FKBP4;PTGES3;SACS;DNAJB1;PPIL1;HSPE1;BAG5;NUDC;GRPEL2;CCDC47;BAG1;CDC123;CCT7;CCT4;CDC37;LYRM7;PPIH;VBP1;HSPA4;RUVBL2;HSPBP1;PPID;QSOX2;HSPA14;ANP32E;RIC8A;DNAJA2;UNC45A;DNAJA4;BAG3;PFDN2;TTC1;ELP6;NUDCD3;KHSRP;HSPA13;DNAJC5;RP2;CLU;MESD;TRAP1;ERO1A;DFFA;RANBP2;PFDN6;PDRG1;MPDU1;PPIA;DNAJB6;PDCL3;DNAJB11;CLGN;TBCC;DNAJC7;TBCA","GO:0006457","protein folding",1.25406391645373e-07,180
