"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000819","GO:0000819","sister chromatid segregation",230,-0.855519497685252,-2.73464282995773,1e-10,5.51727272727273e-09,4.12057416267943e-09,1727,"tags=38%, list=5%, signal=37%","ENSG00000180376/ENSG00000149503/ENSG00000040275/ENSG00000118007/ENSG00000136824/ENSG00000172977/ENSG00000145241/ENSG00000096717/ENSG00000094880/ENSG00000204389/ENSG00000163939/ENSG00000213024/ENSG00000137804/ENSG00000085415/ENSG00000108055/ENSG00000066117/ENSG00000072501/ENSG00000136861/ENSG00000174442/ENSG00000164754/ENSG00000167513/ENSG00000049618/ENSG00000135476/ENSG00000128944/ENSG00000099956/ENSG00000077097/ENSG00000178295/ENSG00000123219/ENSG00000164109/ENSG00000101639/ENSG00000009954/ENSG00000122952/ENSG00000151503/ENSG00000108424/ENSG00000121621/ENSG00000161888/ENSG00000177602/ENSG00000153187/ENSG00000143924/ENSG00000079616/ENSG00000184445/ENSG00000276043/ENSG00000146918/ENSG00000134057/ENSG00000134222/ENSG00000071539/ENSG00000170312/ENSG00000013810/ENSG00000102384/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000113810/ENSG00000088325/ENSG00000161800/ENSG00000137812/ENSG00000089685/ENSG00000198901/ENSG00000010292/ENSG00000142945/ENSG00000112742/ENSG00000134690/ENSG00000109805/ENSG00000166851/ENSG00000186185/ENSG00000143228/ENSG00000118193/ENSG00000138160/ENSG00000152253/ENSG00000076382/ENSG00000094804/ENSG00000138778/ENSG00000126787/ENSG00000169679/ENSG00000154839/ENSG00000117650/ENSG00000112029/ENSG00000101057/ENSG00000175063/ENSG00000080986/ENSG00000131747/ENSG00000156970/ENSG00000090889/ENSG00000165480/ENSG00000163808/ENSG00000117724/ENSG00000121152"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation",191,-0.870800986382669,-2.72295800290955,1e-10,5.51727272727273e-09,4.12057416267943e-09,1727,"tags=42%, list=5%, signal=40%","ENSG00000180376/ENSG00000149503/ENSG00000040275/ENSG00000118007/ENSG00000136824/ENSG00000172977/ENSG00000145241/ENSG00000096717/ENSG00000094880/ENSG00000204389/ENSG00000213024/ENSG00000137804/ENSG00000085415/ENSG00000108055/ENSG00000072501/ENSG00000136861/ENSG00000174442/ENSG00000164754/ENSG00000167513/ENSG00000135476/ENSG00000128944/ENSG00000178295/ENSG00000123219/ENSG00000164109/ENSG00000101639/ENSG00000009954/ENSG00000122952/ENSG00000151503/ENSG00000108424/ENSG00000121621/ENSG00000161888/ENSG00000177602/ENSG00000153187/ENSG00000143924/ENSG00000079616/ENSG00000184445/ENSG00000276043/ENSG00000146918/ENSG00000134057/ENSG00000134222/ENSG00000071539/ENSG00000170312/ENSG00000102384/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000113810/ENSG00000088325/ENSG00000161800/ENSG00000137812/ENSG00000089685/ENSG00000198901/ENSG00000010292/ENSG00000142945/ENSG00000112742/ENSG00000134690/ENSG00000109805/ENSG00000166851/ENSG00000186185/ENSG00000143228/ENSG00000118193/ENSG00000138160/ENSG00000152253/ENSG00000076382/ENSG00000138778/ENSG00000126787/ENSG00000169679/ENSG00000154839/ENSG00000117650/ENSG00000112029/ENSG00000101057/ENSG00000175063/ENSG00000080986/ENSG00000156970/ENSG00000090889/ENSG00000165480/ENSG00000163808/ENSG00000117724/ENSG00000121152"
"GO:0007059","GO:0007059","chromosome segregation",421,-0.805472256437823,-2.68856734562519,1e-10,5.51727272727273e-09,4.12057416267943e-09,2237,"tags=36%, list=6%, signal=34%","ENSG00000180198/ENSG00000070950/ENSG00000205078/ENSG00000189079/ENSG00000112739/ENSG00000128908/ENSG00000204410/ENSG00000198887/ENSG00000130695/ENSG00000152240/ENSG00000183955/ENSG00000180376/ENSG00000149503/ENSG00000040275/ENSG00000118007/ENSG00000149273/ENSG00000136824/ENSG00000134698/ENSG00000102974/ENSG00000172977/ENSG00000145241/ENSG00000096717/ENSG00000094880/ENSG00000204389/ENSG00000031691/ENSG00000142856/ENSG00000163939/ENSG00000138092/ENSG00000213024/ENSG00000196230/ENSG00000137804/ENSG00000159433/ENSG00000085415/ENSG00000108055/ENSG00000066117/ENSG00000072501/ENSG00000136861/ENSG00000174442/ENSG00000072864/ENSG00000249115/ENSG00000151849/ENSG00000164754/ENSG00000167513/ENSG00000049618/ENSG00000092036/ENSG00000121211/ENSG00000166451/ENSG00000159055/ENSG00000135476/ENSG00000163535/ENSG00000137822/ENSG00000164949/ENSG00000128944/ENSG00000099956/ENSG00000156876/ENSG00000164828/ENSG00000163029/ENSG00000139734/ENSG00000077097/ENSG00000178295/ENSG00000177302/ENSG00000123219/ENSG00000164109/ENSG00000101639/ENSG00000009954/ENSG00000131470/ENSG00000175305/ENSG00000122952/ENSG00000151503/ENSG00000108424/ENSG00000153044/ENSG00000203760/ENSG00000121621/ENSG00000164611/ENSG00000161888/ENSG00000177602/ENSG00000012048/ENSG00000100814/ENSG00000087586/ENSG00000153187/ENSG00000188312/ENSG00000143924/ENSG00000079616/ENSG00000184445/ENSG00000000460/ENSG00000276043/ENSG00000104147/ENSG00000146918/ENSG00000134057/ENSG00000134222/ENSG00000071539/ENSG00000170312/ENSG00000100162/ENSG00000100206/ENSG00000013810/ENSG00000102384/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000113810/ENSG00000088325/ENSG00000161800/ENSG00000131351/ENSG00000137812/ENSG00000157456/ENSG00000123473/ENSG00000089685/ENSG00000126216/ENSG00000198901/ENSG00000010292/ENSG00000151725/ENSG00000142945/ENSG00000112742/ENSG00000136492/ENSG00000134690/ENSG00000171320/ENSG00000109805/ENSG00000166851/ENSG00000101447/ENSG00000186185/ENSG00000143228/ENSG00000184661/ENSG00000118193/ENSG00000138160/ENSG00000152253/ENSG00000076382/ENSG00000094804/ENSG00000144554/ENSG00000138778/ENSG00000126787/ENSG00000123485/ENSG00000169679/ENSG00000066279/ENSG00000154839/ENSG00000117650/ENSG00000112029/ENSG00000129810/ENSG00000101057/ENSG00000175063/ENSG00000080986/ENSG00000131747/ENSG00000148773/ENSG00000156970/ENSG00000090889/ENSG00000165480/ENSG00000163808/ENSG00000117724/ENSG00000121152/ENSG00000121957"
"GO:0098813","GO:0098813","nuclear chromosome segregation",312,-0.821284216596664,-2.65906269823136,1e-10,5.51727272727273e-09,4.12057416267943e-09,1727,"tags=34%, list=5%, signal=32%","ENSG00000180376/ENSG00000149503/ENSG00000040275/ENSG00000118007/ENSG00000136824/ENSG00000134698/ENSG00000172977/ENSG00000145241/ENSG00000096717/ENSG00000094880/ENSG00000204389/ENSG00000031691/ENSG00000163939/ENSG00000213024/ENSG00000137804/ENSG00000085415/ENSG00000108055/ENSG00000066117/ENSG00000072501/ENSG00000136861/ENSG00000174442/ENSG00000164754/ENSG00000167513/ENSG00000049618/ENSG00000121211/ENSG00000135476/ENSG00000164949/ENSG00000128944/ENSG00000099956/ENSG00000164828/ENSG00000077097/ENSG00000178295/ENSG00000123219/ENSG00000164109/ENSG00000101639/ENSG00000009954/ENSG00000131470/ENSG00000175305/ENSG00000122952/ENSG00000151503/ENSG00000108424/ENSG00000121621/ENSG00000164611/ENSG00000161888/ENSG00000177602/ENSG00000100814/ENSG00000087586/ENSG00000153187/ENSG00000143924/ENSG00000079616/ENSG00000184445/ENSG00000276043/ENSG00000146918/ENSG00000134057/ENSG00000134222/ENSG00000071539/ENSG00000170312/ENSG00000100206/ENSG00000013810/ENSG00000102384/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000113810/ENSG00000088325/ENSG00000161800/ENSG00000137812/ENSG00000157456/ENSG00000089685/ENSG00000198901/ENSG00000010292/ENSG00000142945/ENSG00000112742/ENSG00000136492/ENSG00000134690/ENSG00000109805/ENSG00000166851/ENSG00000101447/ENSG00000186185/ENSG00000143228/ENSG00000118193/ENSG00000138160/ENSG00000152253/ENSG00000076382/ENSG00000094804/ENSG00000144554/ENSG00000138778/ENSG00000126787/ENSG00000169679/ENSG00000066279/ENSG00000154839/ENSG00000117650/ENSG00000112029/ENSG00000129810/ENSG00000101057/ENSG00000175063/ENSG00000080986/ENSG00000131747/ENSG00000156970/ENSG00000090889/ENSG00000165480/ENSG00000163808/ENSG00000117724/ENSG00000121152"
"GO:0140014","GO:0140014","mitotic nuclear division",274,-0.81822658735894,-2.64964102438843,1e-10,5.51727272727273e-09,4.12057416267943e-09,1727,"tags=35%, list=5%, signal=33%","ENSG00000180376/ENSG00000149503/ENSG00000040275/ENSG00000118007/ENSG00000136824/ENSG00000172977/ENSG00000145241/ENSG00000096717/ENSG00000094880/ENSG00000204389/ENSG00000213024/ENSG00000137804/ENSG00000085415/ENSG00000108055/ENSG00000072501/ENSG00000136861/ENSG00000174442/ENSG00000072864/ENSG00000162599/ENSG00000164754/ENSG00000167513/ENSG00000127564/ENSG00000135476/ENSG00000128944/ENSG00000111276/ENSG00000178295/ENSG00000123219/ENSG00000164109/ENSG00000101639/ENSG00000009954/ENSG00000136122/ENSG00000169515/ENSG00000122952/ENSG00000151503/ENSG00000108424/ENSG00000121621/ENSG00000149554/ENSG00000161888/ENSG00000177602/ENSG00000087586/ENSG00000153187/ENSG00000143924/ENSG00000079616/ENSG00000184445/ENSG00000172167/ENSG00000276043/ENSG00000146918/ENSG00000134057/ENSG00000134222/ENSG00000071539/ENSG00000170312/ENSG00000138182/ENSG00000156509/ENSG00000102384/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000113810/ENSG00000088325/ENSG00000161800/ENSG00000137812/ENSG00000089685/ENSG00000198901/ENSG00000010292/ENSG00000142945/ENSG00000112742/ENSG00000158402/ENSG00000134690/ENSG00000109805/ENSG00000166851/ENSG00000186185/ENSG00000143228/ENSG00000184661/ENSG00000118193/ENSG00000138160/ENSG00000152253/ENSG00000076382/ENSG00000138778/ENSG00000126787/ENSG00000169679/ENSG00000154839/ENSG00000011426/ENSG00000117650/ENSG00000112029/ENSG00000101057/ENSG00000175063/ENSG00000080986/ENSG00000148773/ENSG00000156970/ENSG00000090889/ENSG00000165480/ENSG00000163808/ENSG00000117724/ENSG00000121152"
"GO:0033044","GO:0033044","regulation of chromosome organization",241,-0.818841110900283,-2.62482897262848,1e-10,5.51727272727273e-09,4.12057416267943e-09,2587,"tags=38%, list=7%, signal=35%","ENSG00000173473/ENSG00000128513/ENSG00000020922/ENSG00000154473/ENSG00000110987/ENSG00000086827/ENSG00000174953/ENSG00000122566/ENSG00000153107/ENSG00000136518/ENSG00000137497/ENSG00000170364/ENSG00000073584/ENSG00000133302/ENSG00000135486/ENSG00000189079/ENSG00000112739/ENSG00000128908/ENSG00000198887/ENSG00000123374/ENSG00000135372/ENSG00000166582/ENSG00000101442/ENSG00000149503/ENSG00000040275/ENSG00000136824/ENSG00000102974/ENSG00000079246/ENSG00000172977/ENSG00000181625/ENSG00000096717/ENSG00000094880/ENSG00000132475/ENSG00000163939/ENSG00000089022/ENSG00000119906/ENSG00000066117/ENSG00000136861/ENSG00000174442/ENSG00000164754/ENSG00000049618/ENSG00000135476/ENSG00000143748/ENSG00000099956/ENSG00000163029/ENSG00000178295/ENSG00000164109/ENSG00000009954/ENSG00000122952/ENSG00000151503/ENSG00000161888/ENSG00000177602/ENSG00000153187/ENSG00000138668/ENSG00000013573/ENSG00000184445/ENSG00000146918/ENSG00000168496/ENSG00000134057/ENSG00000071539/ENSG00000170312/ENSG00000013810/ENSG00000140451/ENSG00000085511/ENSG00000117399/ENSG00000178999/ENSG00000113810/ENSG00000137812/ENSG00000089685/ENSG00000010292/ENSG00000112742/ENSG00000134690/ENSG00000109805/ENSG00000166851/ENSG00000143228/ENSG00000152253/ENSG00000094804/ENSG00000138778/ENSG00000126787/ENSG00000169679/ENSG00000116560/ENSG00000154839/ENSG00000117650/ENSG00000112029/ENSG00000143799/ENSG00000175063/ENSG00000080986/ENSG00000156970/ENSG00000165480/ENSG00000117724/ENSG00000121152"
"GO:0006260","GO:0006260","DNA replication",277,-0.807369525809782,-2.60983132109212,1e-10,5.51727272727273e-09,4.12057416267943e-09,2559,"tags=41%, list=7%, signal=38%","ENSG00000075131/ENSG00000136518/ENSG00000146143/ENSG00000101773/ENSG00000116161/ENSG00000170364/ENSG00000159335/ENSG00000077514/ENSG00000014138/ENSG00000035928/ENSG00000160957/ENSG00000132646/ENSG00000128908/ENSG00000127586/ENSG00000111877/ENSG00000183955/ENSG00000159147/ENSG00000123374/ENSG00000101442/ENSG00000166483/ENSG00000185104/ENSG00000152193/ENSG00000161692/ENSG00000101574/ENSG00000104889/ENSG00000204305/ENSG00000102054/ENSG00000147536/ENSG00000091651/ENSG00000108055/ENSG00000162599/ENSG00000167513/ENSG00000197771/ENSG00000105486/ENSG00000073111/ENSG00000168802/ENSG00000181938/ENSG00000076003/ENSG00000163781/ENSG00000111276/ENSG00000138346/ENSG00000178295/ENSG00000167670/ENSG00000166801/ENSG00000125885/ENSG00000198554/ENSG00000006634/ENSG00000177084/ENSG00000164045/ENSG00000049541/ENSG00000146263/ENSG00000092201/ENSG00000132780/ENSG00000101003/ENSG00000175305/ENSG00000136982/ENSG00000163918/ENSG00000119335/ENSG00000178966/ENSG00000149554/ENSG00000168411/ENSG00000104738/ENSG00000167325/ENSG00000012048/ENSG00000198056/ENSG00000069275/ENSG00000100297/ENSG00000112312/ENSG00000013573/ENSG00000253729/ENSG00000154920/ENSG00000162521/ENSG00000077684/ENSG00000051180/ENSG00000133119/ENSG00000005156/ENSG00000168496/ENSG00000139618/ENSG00000100479/ENSG00000170312/ENSG00000183763/ENSG00000093009/ENSG00000166508/ENSG00000111445/ENSG00000111602/ENSG00000149136/ENSG00000097046/ENSG00000135829/ENSG00000145386/ENSG00000189057/ENSG00000135913/ENSG00000176208/ENSG00000143476/ENSG00000085840/ENSG00000131153/ENSG00000166803/ENSG00000112118/ENSG00000138376/ENSG00000171320/ENSG00000051341/ENSG00000111087/ENSG00000094804/ENSG00000197299/ENSG00000101868/ENSG00000167900/ENSG00000140534/ENSG00000159259/ENSG00000112029/ENSG00000065328/ENSG00000143799/ENSG00000129173/ENSG00000172716/ENSG00000174371"
"GO:0006261","GO:0006261","DNA-templated DNA replication",163,-0.842213280727522,-2.58578142969589,1e-10,5.51727272727273e-09,4.12057416267943e-09,2559,"tags=47%, list=7%, signal=43%","ENSG00000075131/ENSG00000146143/ENSG00000101773/ENSG00000170364/ENSG00000077514/ENSG00000014138/ENSG00000035928/ENSG00000132646/ENSG00000128908/ENSG00000111877/ENSG00000183955/ENSG00000159147/ENSG00000123374/ENSG00000161692/ENSG00000101574/ENSG00000204305/ENSG00000147536/ENSG00000091651/ENSG00000167513/ENSG00000197771/ENSG00000105486/ENSG00000073111/ENSG00000076003/ENSG00000163781/ENSG00000138346/ENSG00000178295/ENSG00000166801/ENSG00000125885/ENSG00000198554/ENSG00000006634/ENSG00000177084/ENSG00000049541/ENSG00000146263/ENSG00000101003/ENSG00000175305/ENSG00000163918/ENSG00000168411/ENSG00000104738/ENSG00000167325/ENSG00000012048/ENSG00000198056/ENSG00000069275/ENSG00000100297/ENSG00000112312/ENSG00000013573/ENSG00000253729/ENSG00000154920/ENSG00000051180/ENSG00000133119/ENSG00000005156/ENSG00000168496/ENSG00000139618/ENSG00000100479/ENSG00000170312/ENSG00000183763/ENSG00000093009/ENSG00000166508/ENSG00000111445/ENSG00000111602/ENSG00000097046/ENSG00000176208/ENSG00000085840/ENSG00000112118/ENSG00000138376/ENSG00000051341/ENSG00000094804/ENSG00000197299/ENSG00000101868/ENSG00000167900/ENSG00000140534/ENSG00000112029/ENSG00000065328/ENSG00000143799/ENSG00000129173/ENSG00000172716/ENSG00000174371"
"GO:0000280","GO:0000280","nuclear division",426,-0.770657394742544,-2.58348525125622,1e-10,5.51727272727273e-09,4.12057416267943e-09,2086,"tags=31%, list=6%, signal=30%","ENSG00000112739/ENSG00000128908/ENSG00000204410/ENSG00000130695/ENSG00000123975/ENSG00000185697/ENSG00000183955/ENSG00000180376/ENSG00000149503/ENSG00000040275/ENSG00000118007/ENSG00000136824/ENSG00000134698/ENSG00000172977/ENSG00000145241/ENSG00000096717/ENSG00000094880/ENSG00000204389/ENSG00000213024/ENSG00000137804/ENSG00000085415/ENSG00000108055/ENSG00000072501/ENSG00000136861/ENSG00000174442/ENSG00000072864/ENSG00000197275/ENSG00000162599/ENSG00000164754/ENSG00000167513/ENSG00000132016/ENSG00000121211/ENSG00000127564/ENSG00000135476/ENSG00000128944/ENSG00000120539/ENSG00000164828/ENSG00000101224/ENSG00000111276/ENSG00000077097/ENSG00000178295/ENSG00000123219/ENSG00000132436/ENSG00000164109/ENSG00000101639/ENSG00000126803/ENSG00000009954/ENSG00000131470/ENSG00000136122/ENSG00000169515/ENSG00000175305/ENSG00000122952/ENSG00000151503/ENSG00000108424/ENSG00000121621/ENSG00000178966/ENSG00000149554/ENSG00000164611/ENSG00000161888/ENSG00000177602/ENSG00000100814/ENSG00000087586/ENSG00000153187/ENSG00000143924/ENSG00000160117/ENSG00000079616/ENSG00000184445/ENSG00000154920/ENSG00000051180/ENSG00000172167/ENSG00000276043/ENSG00000146918/ENSG00000134057/ENSG00000139618/ENSG00000134222/ENSG00000071539/ENSG00000170312/ENSG00000138182/ENSG00000085999/ENSG00000156509/ENSG00000111247/ENSG00000100206/ENSG00000187741/ENSG00000102384/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000113810/ENSG00000088325/ENSG00000161800/ENSG00000137812/ENSG00000157456/ENSG00000185379/ENSG00000089685/ENSG00000198901/ENSG00000010292/ENSG00000142945/ENSG00000112742/ENSG00000136492/ENSG00000158402/ENSG00000134690/ENSG00000109805/ENSG00000166851/ENSG00000186185/ENSG00000143228/ENSG00000184661/ENSG00000118193/ENSG00000138160/ENSG00000152253/ENSG00000076382/ENSG00000144554/ENSG00000138778/ENSG00000126787/ENSG00000169679/ENSG00000066279/ENSG00000154839/ENSG00000011426/ENSG00000117650/ENSG00000112029/ENSG00000129810/ENSG00000101057/ENSG00000175063/ENSG00000080986/ENSG00000131747/ENSG00000148773/ENSG00000156970/ENSG00000090889/ENSG00000165480/ENSG00000163808/ENSG00000117724/ENSG00000121152"
"GO:0065004","GO:0065004","protein-DNA complex assembly",218,-0.8122963402429,-2.5825942805666,1e-10,5.51727272727273e-09,4.12057416267943e-09,2163,"tags=41%, list=6%, signal=39%","ENSG00000213551/ENSG00000099284/ENSG00000189060/ENSG00000164758/ENSG00000168148/ENSG00000166582/ENSG00000083168/ENSG00000127483/ENSG00000197238/ENSG00000273542/ENSG00000145241/ENSG00000118260/ENSG00000142856/ENSG00000132475/ENSG00000230667/ENSG00000188486/ENSG00000138092/ENSG00000273802/ENSG00000167513/ENSG00000166451/ENSG00000073111/ENSG00000159055/ENSG00000099956/ENSG00000189403/ENSG00000274618/ENSG00000167670/ENSG00000115750/ENSG00000123219/ENSG00000277775/ENSG00000196628/ENSG00000124635/ENSG00000183598/ENSG00000203811/ENSG00000203852/ENSG00000092201/ENSG00000132780/ENSG00000270882/ENSG00000270276/ENSG00000197061/ENSG00000277157/ENSG00000278705/ENSG00000153044/ENSG00000276410/ENSG00000275126/ENSG00000273983/ENSG00000119335/ENSG00000203760/ENSG00000275714/ENSG00000278637/ENSG00000278828/ENSG00000188312/ENSG00000112312/ENSG00000184445/ENSG00000162521/ENSG00000276966/ENSG00000051180/ENSG00000274750/ENSG00000075856/ENSG00000156802/ENSG00000104147/ENSG00000278588/ENSG00000274641/ENSG00000129534/ENSG00000164104/ENSG00000233822/ENSG00000093009/ENSG00000100206/ENSG00000102384/ENSG00000287080/ENSG00000149136/ENSG00000274290/ENSG00000180596/ENSG00000105011/ENSG00000273703/ENSG00000185130/ENSG00000184357/ENSG00000124610/ENSG00000138778/ENSG00000126787/ENSG00000123485/ENSG00000277224/ENSG00000159259/ENSG00000275379/ENSG00000197153/ENSG00000275713/ENSG00000286522/ENSG00000115163/ENSG00000124575/ENSG00000117724/ENSG00000168298"
"GO:0071824","GO:0071824","protein-DNA complex organization",237,-0.804262896706049,-2.57518900564917,1e-10,5.51727272727273e-09,4.12057416267943e-09,2169,"tags=39%, list=6%, signal=37%","ENSG00000153922/ENSG00000213551/ENSG00000189079/ENSG00000099284/ENSG00000189060/ENSG00000164758/ENSG00000168148/ENSG00000166582/ENSG00000083168/ENSG00000127483/ENSG00000197238/ENSG00000273542/ENSG00000145241/ENSG00000118260/ENSG00000142856/ENSG00000132475/ENSG00000230667/ENSG00000188486/ENSG00000138092/ENSG00000066117/ENSG00000273802/ENSG00000167513/ENSG00000166451/ENSG00000073111/ENSG00000159055/ENSG00000099956/ENSG00000189403/ENSG00000274618/ENSG00000167670/ENSG00000115750/ENSG00000123219/ENSG00000277775/ENSG00000196628/ENSG00000124635/ENSG00000183598/ENSG00000203811/ENSG00000203852/ENSG00000092201/ENSG00000132780/ENSG00000270882/ENSG00000270276/ENSG00000197061/ENSG00000277157/ENSG00000278705/ENSG00000153044/ENSG00000276410/ENSG00000275126/ENSG00000273983/ENSG00000119335/ENSG00000203760/ENSG00000275714/ENSG00000278637/ENSG00000278828/ENSG00000188312/ENSG00000112312/ENSG00000184445/ENSG00000162521/ENSG00000276966/ENSG00000051180/ENSG00000274750/ENSG00000075856/ENSG00000156802/ENSG00000104147/ENSG00000278588/ENSG00000274641/ENSG00000129534/ENSG00000164104/ENSG00000233822/ENSG00000093009/ENSG00000100206/ENSG00000102384/ENSG00000287080/ENSG00000149136/ENSG00000274290/ENSG00000180596/ENSG00000105011/ENSG00000273703/ENSG00000185130/ENSG00000184357/ENSG00000124610/ENSG00000138778/ENSG00000126787/ENSG00000123485/ENSG00000277224/ENSG00000159259/ENSG00000275379/ENSG00000197153/ENSG00000275713/ENSG00000286522/ENSG00000115163/ENSG00000124575/ENSG00000117724/ENSG00000168298"
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis",169,-0.829567759523739,-2.56386071014476,1e-10,5.51727272727273e-09,4.12057416267943e-09,1727,"tags=34%, list=5%, signal=32%","ENSG00000180376/ENSG00000175216/ENSG00000149503/ENSG00000040275/ENSG00000118007/ENSG00000172977/ENSG00000204389/ENSG00000117632/ENSG00000213024/ENSG00000137804/ENSG00000108055/ENSG00000072501/ENSG00000136861/ENSG00000072864/ENSG00000151849/ENSG00000135476/ENSG00000156876/ENSG00000164109/ENSG00000101639/ENSG00000075702/ENSG00000136122/ENSG00000164087/ENSG00000108424/ENSG00000153044/ENSG00000087586/ENSG00000160299/ENSG00000153187/ENSG00000276043/ENSG00000134057/ENSG00000134222/ENSG00000170312/ENSG00000013810/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000088325/ENSG00000161800/ENSG00000123473/ENSG00000089685/ENSG00000198901/ENSG00000186193/ENSG00000112742/ENSG00000134690/ENSG00000166851/ENSG00000143228/ENSG00000138160/ENSG00000152253/ENSG00000138778/ENSG00000126787/ENSG00000117650/ENSG00000101057/ENSG00000080986/ENSG00000115163/ENSG00000090889/ENSG00000163808/ENSG00000121957"
"GO:0048285","GO:0048285","organelle fission",476,-0.751583492784284,-2.54344276056537,1e-10,5.51727272727273e-09,4.12057416267943e-09,2086,"tags=29%, list=6%, signal=27%","ENSG00000112739/ENSG00000128908/ENSG00000204410/ENSG00000130695/ENSG00000123975/ENSG00000185697/ENSG00000183955/ENSG00000104381/ENSG00000180376/ENSG00000146410/ENSG00000149503/ENSG00000040275/ENSG00000118007/ENSG00000136824/ENSG00000134698/ENSG00000172977/ENSG00000145241/ENSG00000120341/ENSG00000096717/ENSG00000094880/ENSG00000204389/ENSG00000213024/ENSG00000137804/ENSG00000085415/ENSG00000108055/ENSG00000072501/ENSG00000136861/ENSG00000174442/ENSG00000072864/ENSG00000197275/ENSG00000162599/ENSG00000164754/ENSG00000167513/ENSG00000132016/ENSG00000121211/ENSG00000127564/ENSG00000135476/ENSG00000128944/ENSG00000120539/ENSG00000278259/ENSG00000164828/ENSG00000101224/ENSG00000111276/ENSG00000077097/ENSG00000178295/ENSG00000123219/ENSG00000132436/ENSG00000164109/ENSG00000101639/ENSG00000126803/ENSG00000009954/ENSG00000131470/ENSG00000136122/ENSG00000169515/ENSG00000175305/ENSG00000122952/ENSG00000151503/ENSG00000108424/ENSG00000121621/ENSG00000178966/ENSG00000149554/ENSG00000164611/ENSG00000161888/ENSG00000177602/ENSG00000100814/ENSG00000087586/ENSG00000153187/ENSG00000143924/ENSG00000160117/ENSG00000079616/ENSG00000184445/ENSG00000154920/ENSG00000051180/ENSG00000172167/ENSG00000276043/ENSG00000146918/ENSG00000134057/ENSG00000139618/ENSG00000134222/ENSG00000071539/ENSG00000170312/ENSG00000138182/ENSG00000085999/ENSG00000156509/ENSG00000111247/ENSG00000100206/ENSG00000187741/ENSG00000102384/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000113810/ENSG00000088325/ENSG00000161800/ENSG00000137812/ENSG00000157456/ENSG00000185379/ENSG00000089685/ENSG00000198901/ENSG00000010292/ENSG00000142945/ENSG00000112742/ENSG00000136492/ENSG00000158402/ENSG00000134690/ENSG00000109805/ENSG00000166851/ENSG00000186185/ENSG00000143228/ENSG00000184661/ENSG00000118193/ENSG00000138160/ENSG00000152253/ENSG00000076382/ENSG00000144554/ENSG00000138778/ENSG00000126787/ENSG00000169679/ENSG00000066279/ENSG00000154839/ENSG00000011426/ENSG00000117650/ENSG00000112029/ENSG00000129810/ENSG00000101057/ENSG00000175063/ENSG00000080986/ENSG00000131747/ENSG00000148773/ENSG00000156970/ENSG00000090889/ENSG00000165480/ENSG00000163808/ENSG00000117724/ENSG00000121152"
"GO:0007051","GO:0007051","spindle organization",206,-0.806368231711558,-2.54097004853886,1e-10,5.51727272727273e-09,4.12057416267943e-09,1727,"tags=32%, list=5%, signal=31%","ENSG00000180376/ENSG00000175216/ENSG00000149503/ENSG00000118007/ENSG00000149273/ENSG00000092820/ENSG00000204389/ENSG00000117632/ENSG00000213024/ENSG00000196230/ENSG00000159433/ENSG00000108055/ENSG00000072501/ENSG00000249115/ENSG00000151849/ENSG00000092036/ENSG00000135476/ENSG00000137822/ENSG00000128944/ENSG00000170004/ENSG00000156876/ENSG00000101639/ENSG00000127423/ENSG00000075702/ENSG00000136122/ENSG00000164087/ENSG00000108424/ENSG00000153044/ENSG00000087586/ENSG00000160299/ENSG00000153187/ENSG00000276043/ENSG00000134057/ENSG00000134222/ENSG00000013810/ENSG00000117399/ENSG00000137807/ENSG00000178999/ENSG00000237649/ENSG00000088325/ENSG00000161800/ENSG00000131351/ENSG00000157456/ENSG00000123473/ENSG00000089685/ENSG00000126216/ENSG00000198901/ENSG00000112742/ENSG00000134690/ENSG00000166851/ENSG00000143228/ENSG00000138160/ENSG00000152253/ENSG00000076382/ENSG00000138778/ENSG00000126787/ENSG00000066279/ENSG00000154839/ENSG00000117650/ENSG00000112029/ENSG00000101057/ENSG00000080986/ENSG00000090889/ENSG00000165480/ENSG00000163808/ENSG00000121957"
